id	namespace	canonical_path	source_count	variant_count	status
engineering/synthesis/synthesis-preplan	engineering/synthesis	skills/engineering/synthesis/synthesis-preplan/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-project-management	engineering/synthesis	skills/engineering/synthesis/synthesis-project-management/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-promotion-gate	engineering/synthesis	skills/engineering/synthesis/synthesis-promotion-gate/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-quick-answers	engineering/synthesis	skills/engineering/synthesis/synthesis-quick-answers/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-reader-briefing	engineering/synthesis	skills/engineering/synthesis/synthesis-reader-briefing/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-repo-guard	engineering/synthesis	skills/engineering/synthesis/synthesis-repo-guard/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-response-merger	engineering/synthesis	skills/engineering/synthesis/synthesis-response-merger/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-review-triage	engineering/synthesis	skills/engineering/synthesis/synthesis-review-triage/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-skill-router	engineering/synthesis	skills/engineering/synthesis/synthesis-skill-router/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-skills-manager	engineering/synthesis	skills/engineering/synthesis/synthesis-skills-manager/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-slack-sync	engineering/synthesis	skills/engineering/synthesis/synthesis-slack-sync/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-technical-advisor	engineering/synthesis	skills/engineering/synthesis/synthesis-technical-advisor/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-text-provenance	engineering/synthesis	skills/engineering/synthesis/synthesis-text-provenance/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-thinking-framework	engineering/synthesis	skills/engineering/synthesis/synthesis-thinking-framework/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-tree-of-thought	engineering/synthesis	skills/engineering/synthesis/synthesis-tree-of-thought/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-voice-profiler	engineering/synthesis	skills/engineering/synthesis/synthesis-voice-profiler/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-writing-craft	engineering/synthesis	skills/engineering/synthesis/synthesis-writing-craft/SKILL.md	1	1	canonical
engineering/synthesis/synthesis-writing-pitfalls	engineering/synthesis	skills/engineering/synthesis/synthesis-writing-pitfalls/SKILL.md	1	1	canonical
engineering/qa/fugazi/a11y-playwright-testing	engineering/qa/fugazi	skills/engineering/qa/fugazi/a11y-playwright-testing/SKILL.md	1	1	canonical
engineering/qa/fugazi/accessibility-selenium-testing	engineering/qa/fugazi	skills/engineering/qa/fugazi/accessibility-selenium-testing/SKILL.md	1	1	canonical
engineering/qa/fugazi/api-testing	engineering/qa/fugazi	skills/engineering/qa/fugazi/api-testing/SKILL.md	1	1	canonical
engineering/qa/fugazi/grill-me-qa	engineering/qa/fugazi	skills/engineering/qa/fugazi/grill-me-qa/SKILL.md	1	1	canonical
